state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,11.85820905459838,3.4435750397803706,0,0
Alabama,Senate,38.856911087573444,NA,11.85820905459838,3.4435750397803706,0,0
Alaska,Senate,42.34414164928131,0.5323010502543488,31.207809276177386,5.586395016124207,30,9
Alaska,Governor,42.34414164928131,NA,13.41324477254287,3.662409694796975,0,0
Arizona,Senate,41.38652082164871,0.5402713511451345,24.726868343388055,4.9726118231155,16,7
Arizona,Governor,41.38652082164871,0.49991782453838157,17.89410416454135,4.23014233383953,12,6
Arkansas,Senate,36.5803502611594,0.41216216216216217,34.60725430972957,5.882793070449577,1,1
Arkansas,Governor,36.5803502611594,0.3840794997480911,17.818327881989948,4.2211761254406275,4,2
California,Governor,62.586872455790065,0.6322584845366582,23.948822953562615,4.893753462687164,2,2
California,Senate,62.586872455790065,NA,10.022220351420401,3.1657890566840363,0,0
Colorado,Senate,54.268120302384304,0.5437752926893261,24.1983243155858,4.919179231903001,10,4
Colorado,Governor,54.268120302384304,0.582774178296555,19.497442889981745,4.415590887976573,8,4
Connecticut,Senate,58.526242019500806,0.5827831349565937,13.67844391142011,3.698438036714974,2,1
Connecticut,Governor,58.526242019500806,0.5764337455892965,12.78477636341338,3.5755805631272497,5,1
Florida,Senate,48.53526438955828,0.47942388526273255,22.84008728028556,4.779130389546362,24,5
Florida,Governor,48.53526438955828,0.4641310096149235,18.952770176070057,4.353477940230094,12,5
Georgia,Senate,41.97169174882852,0.5223778265446375,20.983821613171102,4.580810148125668,26,9
Georgia,Governor,41.97169174882852,0.47434158385830716,13.974172216694187,3.7382044107691845,25,10
Hawaii,Governor,69.17210294990738,NA,9.002998060880227,3.000499635207481,0,0
Hawaii,Senate,69.17210294990738,NA,9.002998060880227,3.000499635207481,0,0
Idaho,Governor,34.35676477964845,NA,18.377763063390578,4.286929328014468,0,0
Idaho,Senate,34.35676477964845,NA,18.377763063390578,4.286929328014468,0,0
Illinois,Senate,57.926424852004544,0.6153811595338949,27.582666189791983,5.251920238331118,2,1
Illinois,Governor,57.926424852004544,0.580603333331569,22.849636153278293,4.780129302987346,4,1
Indiana,Senate,42.42633551137972,0.4827586206896552,6.884115055632617,2.623759717587077,1,0
Iowa,Senate,45.49003365482535,0.4368866279925335,21.6795570386235,4.656131123435368,12,2
Iowa,Governor,45.49003365482535,0.3980014554887981,18.12967636359306,4.257895767112325,6,2
Kansas,Senate,43.255565338511026,0.4116074260240027,27.9026442515375,5.282295358226147,2,1
Kansas,Governor,43.255565338511026,0.5287519663772351,19.938000456276075,4.465198814865479,5,1
