state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,39.18917814407282,NA,11.85820905459838,3.4435750397803706,0,0
Alabama,Senate,39.18917814407282,NA,11.85820905459838,3.4435750397803706,0,0
Alaska,Senate,43.936222837553466,0.5323010502543489,30.19249314035068,5.494769616676452,30,9
Alaska,Governor,43.936222837553466,NA,13.41324477254287,3.662409694796975,0,0
Arizona,Senate,40.80520701849273,0.5244901424179768,23.473628119527444,4.844959042089772,23,10
Arizona,Governor,40.80520701849273,0.4929839288237717,16.563925689941197,4.069880304129496,18,9
Arkansas,Senate,35.407095918038095,0.38537952165229966,26.363579701579788,5.134547662801445,2,1
Arkansas,Governor,35.407095918038095,0.42551210068040285,16.276659448540624,4.034434216657972,5,1
California,Governor,62.95167673764267,0.6250325076147158,19.502162089421574,4.416125234798213,3,2
California,Senate,62.95167673764267,NA,10.022220351420401,3.1657890566840363,0,0
Colorado,Senate,55.276794381119274,0.5472842622565547,20.65730226203187,4.545030501771343,12,5
Colorado,Governor,55.276794381119274,0.5813780516634613,16.944680513535236,4.116391686117252,9,4
Connecticut,Senate,58.7536964166348,0.5451106143899753,12.955582229737354,3.59938636849913,3,1
Connecticut,Governor,58.7536964166348,0.5764337455892965,5.5823384857333425,2.362697290330131,5,0
Florida,Senate,48.735334389926415,0.4755384847239657,20.982479569867365,4.580663660417272,26,5
Florida,Governor,48.735334389926415,0.45434801080855786,18.85388752264415,4.342106346307532,14,5
Georgia,Senate,40.169129871489616,0.513449081828071,19.143827348007136,4.375365967322863,35,13
Georgia,Governor,40.169129871489616,0.466311668253933,12.372791377401098,3.5174978859128117,33,12
Hawaii,Governor,68.78891469922695,NA,9.002998060880227,3.000499635207481,0,0
Hawaii,Senate,68.78891469922695,NA,9.002998060880227,3.000499635207481,0,0
Idaho,Governor,34.3434438967674,NA,18.377763063390578,4.286929328014468,0,0
Idaho,Senate,34.3434438967674,NA,18.377763063390578,4.286929328014468,0,0
Illinois,Senate,58.75066572010442,0.6067319830088264,32.43661586299136,5.695315255803787,4,3
Illinois,Governor,58.75066572010442,0.6084380936079049,32.209802649291845,5.675368062891767,6,3
Indiana,Senate,41.66029354735467,0.4827586206896552,6.849966018884329,2.6172439738939755,1,0
Iowa,Senate,46.789017129119976,0.46010657956221845,19.534653464338216,4.419802423676676,16,6
Iowa,Governor,46.789017129119976,0.40383817704405545,19.916068228098887,4.46274223186808,8,4
Kansas,Senate,43.92764088086324,0.41160742602400263,8.846407857931812,2.9742911521792568,2,0
Kansas,Governor,43.92764088086324,0.5287519663772351,9.54628111794526,3.0897056684974475,5,0
Kentucky,Senate,37.675516993315874,0.4148936170212766,10.622718413918454,3.2592512044821667,1,0
Louisiana,Senate,23.280050018298816,0.3628225457597397,27.338539388370023,5.2286269123327225,3,1
Maine,Governor,49.03839513783617,0.5609365474051018,18.749498745661636,4.330069138669917,8,1
Maryland,Senate,61.13865406304275,0.43023255813953487,10.483412538435395,3.2378098366697503,1,0
Maryland,Governor,61.13865406304275,0.6818181818181818,20.38220093653245,4.514665096829714,1,1
Massachusetts,Governor,64.61776528167792,0.6580041521337169,30.35224657494182,5.50928730190592,4,2
Michigan,Governor,52.02436119996594,0.5313549811137679,18.379397892741736,4.287119999806599,21,11
Minnesota,Governor,54.628043248847625,0.5246712654795309,20.639011577710072,4.543017893175204,10,4
Missouri,Senate,42.8194623050795,0.4346726151992122,24.039656316151056,4.903025220835709,4,1
Nebraska,Governor,37.036771859249576,0.4606741573033708,20.13704053649251,4.4874313962992805,1,1
Nevada,Senate,51.726010808188505,0.492419625685519,22.548317581147533,4.748506879130273,22,7
Nevada,Governor,51.726010808188505,0.48476131338610645,22.143259118463284,4.705662452669474,15,5
New Hampshire,Senate,49.94400542352568,0.530570596127368,16.654932324456745,4.081045494043988,13,5
New Hampshire,Governor,49.94400542352568,0.41202740615522526,19.517699069791888,4.417884003659658,11,4
New Mexico,Governor,56.70079244898564,0.5510531414341222,24.09178809530208,4.908338628833801,10,3
New York,Senate,64.86521627683923,0.5902876620896451,18.793626051239528,4.3351615945936235,9,5
New York,Governor,64.86521627683923,0.5356413434029158,19.658526513829962,4.433793693196602,18,9
North Carolina,Senate,50.009377834467905,0.485405263877226,21.017910341222244,4.584529456904192,20,7
North Dakota,Senate,29.16555947202734,NA,20.590269651669068,4.537650234611419,0,0
Ohio,Senate,46.75474528254238,0.4888284651472493,22.47629632277612,4.740917244877421,25,11
Ohio,Governor,46.75474528254238,0.39397154618347907,21.171090236610524,4.601205302593064,23,11
Oklahoma,Governor,34.52190848557967,0.4839250691299349,27.854794104175866,5.277764119793141,12,3
Oklahoma,Senate 1,34.52190848557967,0.4100460286570426,26.97797712141439,5.194032837922224,5,2
Oklahoma,Senate 2,34.52190848557967,0.4303713813743031,23.910175784165546,4.889803245956379,5,2
Oregon,Senate,57.61012691666312,0.5833099945921528,20.40512725461862,4.517203477221124,3,3
Oregon,Governor,57.61012691666312,0.501741661978049,36.66004459307348,6.054753883773764,9,6
Pennsylvania,Senate,52.96754776885343,0.5167789421957137,23.07676978231855,4.803828658717809,25,9
Pennsylvania,Governor,52.96754776885343,0.5513068392233832,21.547765105297152,4.641957033977927,23,9
Rhode Island,Governor,63.93664378453121,0.5722789923023655,34.884299018920245,5.906293170756109,2,2
South Carolina,Senate,43.99881819744717,0.40657953563679267,10.630493508045586,3.2604437593747244,2,0
South Carolina,Governor,43.99881819744717,0.46351231617614574,10.02047159787951,3.165512849109842,3,0
South Dakota,Senate,37.73126169633136,0.417702142926362,17.595290864371144,4.194674107051839,2,0
South Dakota,Governor,37.73126169633136,NA,17.155061653652577,4.141866928530247,0,0
Tennessee,Governor,39.00946423705289,NA,9.00874773557905,3.001457601829326,0,0
Texas,Governor,46.19313792977447,0.45877613589573407,13.266346206532305,3.6422995767141813,25,4
Utah,Senate,35.56991843466081,0.4673583009255888,28.732837042347544,5.3603019544002874,8,2
Vermont,Senate,55.90886125872145,0.6559350054146373,18.77102460194768,4.332554050666613,4,1
Vermont,Governor,55.90886125872145,0.34461478948850055,29.749675185917734,5.4543262815784805,3,1
Washington,Senate,57.94769478577504,0.5448730335230686,18.231695562823425,4.269858962872594,20,8
Wisconsin,Senate,51.12298140331395,0.494539229750477,11.70184857117145,3.4207964819865344,14,5
Wisconsin,Governor,51.12298140331395,0.5039934039316681,12.077138184383195,3.4752177175514047,12,4
Wyoming,Governor,28.55131081895336,NA,18.358394976915886,4.284669762877401,0,0
